Symbol,Date,Open,High,Low,Close,Volume
GOOG,3/31/2023,101.709999,104.190002,101.440002,104,28108000
BTC-USD,12/12/2023,41238.73438,42048.30469,40667.5625,41450.22266,24779520132
BTC-USD,3/17/2024,65316.34375,68845.71875,64545.31641,68390.625,44716864318
TSLA,11/22/2023,242.039993,244.009995,231.399994,234.210007,117950600
GOOG,3/15/2024,143.410004,144.339996,141.130005,142.169998,41025900
TSLA,8/23/2023,229.339996,238.979996,229.289993,236.860001,101077600
TSLA,6/29/2023,258.029999,260.73999,253.610001,257.5,131283400
LULU,5/26/2023,342.339996,344.390015,339.48999,340.26001,1789800
TSLA,2/26/2024,192.289993,201.779999,192,199.399994,111747100
LULU,3/1/2024,461.440002,464.570007,457.630005,458.5,1294600
TSLA,6/26/2023,250.070007,258.369995,240.699997,241.050003,179990600
GOOGL,1/17/2024,141.350006,141.839996,138.899994,141.470001,20968600
LULU,2/6/2024,457.309998,459.660004,450.059998,456.540009,1531000
BTC-USD,10/19/2023,28332.41602,28892.47461,28177.98828,28719.80664,14448058195
LULU,5/22/2023,366.929993,367.839996,356.649994,363.119995,1830800
LULU,3/14/2024,472.059998,472.059998,462.75,470.01001,1316800
GOOG,11/29/2023,138.985001,139.669998,136.294998,136.399994,21014700
GOOGL,8/2/2023,129.449997,130.089996,127.559998,128.380005,26273300
BTC-USD,2/18/2024,51661.96875,52356.96484,51233.70703,52122.54688,17595377311
GOOGL,5/24/2023,121.120003,121.910004,119.860001,120.900002,34182600
GOOG,5/11/2023,115.860001,118.440002,114.93,116.900002,57115100
GOOG,8/22/2023,129.130005,130.949997,128.925003,129.690002,15569400
TSLA,7/21/2023,268,268,255.800003,260.019989,161050100
GOOGL,7/26/2023,130.070007,130.979996,128.320007,129.270004,61682100
BTC-USD,11/9/2023,35633.63281,37926.25781,35592.10156,36693.125,37762672382
BTC-USD,6/25/2023,30545.15039,31041.27148,30327.94336,30480.26172,12703464114
BTC-USD,7/1/2023,30471.84766,30641.28906,30328.86523,30590.07813,9086606733
BTC-USD,10/26/2023,34504.28906,34832.91016,33762.32422,34156.64844,19427195376
LULU,1/22/2024,483,483.299988,477.619995,481.890015,909500
GOOG,2/28/2024,139.100006,139.279999,136.639999,137.429993,30628700
BTC-USD,4/10/2023,28336.02734,29771.46484,28189.27148,29652.98047,19282400094
LULU,10/12/2023,374.899994,374.899994,366.98999,373.940002,1250900
BTC-USD,6/3/2023,27252.32422,27317.05273,26958.00391,27075.12891,8385597470
GOOGL,5/10/2023,107.970001,112.940002,107.93,111.75,63153400
BTC-USD,11/21/2023,37469.16016,37631.14063,35813.8125,35813.8125,25172163756
GOOG,1/2/2024,139.600006,140.615005,137.740005,139.559998,20071900
LULU,8/14/2023,380,387.429993,379.529999,385.019989,861300
LULU,11/14/2023,422.660004,431.100006,421.690002,430.329987,1566300
BTC-USD,12/22/2023,43868.98828,44367.95703,43441.96875,43997.90234,21028503216
GOOG,5/16/2023,116.830002,121.199997,116.830002,120.089996,32370100
BTC-USD,9/24/2023,26579.37305,26716.05859,26221.05078,26256.82617,8192867686
LULU,7/11/2023,371.440002,380.089996,371.380005,379.480011,887300
BTC-USD,1/21/2024,41671.48828,41855.36719,41497.00781,41545.78516,9344043642
BTC-USD,9/2/2023,25800.91016,25970.28516,25753.09375,25868.79883,10100387473
BTC-USD,1/13/2024,42799.44531,43234.66016,42464.14453,42842.38281,20601860469
BTC-USD,6/28/2023,30696.56055,30703.2793,29921.82227,30086.24609,14571500779
LULU,3/11/2024,461.529999,461.529999,453.670013,457.76001,729700
TSLA,10/20/2023,217.009995,218.860001,210.419998,211.990005,137734000
